epoch,train_loss,val_loss,val_f1,val_mae
41,0.0648,0.1457,0.7173,0.39;0.37;0.33;0.39;0.44;0.33;0.53;0.44;0.44;0.41;0.26;0.38;0.39
42,0.0623,0.1956,0.6279,0.57;0.43;0.38;0.35;0.43;0.42;0.68;0.37;0.46;0.34;0.31;0.44;0.60
43,0.0627,0.1883,0.5288,0.41;0.44;0.39;0.41;0.45;0.37;0.66;0.41;0.41;0.52;0.42;0.46;0.38
44,0.0645,0.1750,0.6358,0.39;0.40;0.32;0.35;0.43;0.36;0.80;0.43;0.39;0.45;0.41;0.55;0.39
45,0.0600,0.2433,0.5271,0.44;0.46;0.28;0.29;0.47;0.44;0.74;0.44;0.50;0.34;0.72;0.88;0.58
46,0.0575,0.2218,0.5427,0.36;0.45;0.42;0.35;0.36;0.32;0.77;0.35;0.41;0.86;0.31;0.48;0.60
47,0.0608,0.1826,0.6128,0.43;0.51;0.33;0.41;0.37;0.36;0.62;0.48;0.37;0.39;0.32;0.48;0.63
48,0.0575,0.2684,0.5792,0.77;0.52;0.32;0.28;0.48;0.94;0.87;0.48;0.34;0.68;0.35;0.56;0.47
49,0.0579,0.1743,0.6286,0.40;0.38;0.29;0.31;0.48;0.33;0.70;0.37;0.53;0.38;0.34;0.39;0.42
50,0.0563,0.1605,0.6525,0.50;0.43;0.31;0.29;0.50;0.34;0.51;0.34;0.42;0.37;0.44;0.39;0.35
51,0.0553,0.1628,0.6282,0.47;0.29;0.32;0.46;0.41;0.37;0.59;0.39;0.42;0.39;0.39;0.46;0.45
52,0.0570,0.2945,0.5963,0.36;0.32;0.30;0.56;0.38;0.69;0.73;1.03;0.63;1.25;0.35;0.51;0.37
53,0.0532,0.1571,0.6942,0.53;0.38;0.27;0.37;0.53;0.37;0.54;0.35;0.38;0.35;0.34;0.35;0.41
54,0.0527,0.2236,0.6042,0.33;0.28;0.31;0.32;0.33;0.72;0.69;0.39;0.39;1.11;0.31;0.58;0.44
55,0.0561,0.1652,0.6566,0.53;0.47;0.29;0.46;0.42;0.32;0.65;0.40;0.32;0.44;0.29;0.39;0.52
56,0.0507,0.1550,0.6970,0.38;0.39;0.28;0.37;0.38;0.33;0.67;0.38;0.31;0.52;0.30;0.48;0.29
57,0.0496,0.1805,0.6586,0.36;0.43;0.30;0.39;0.42;0.35;0.58;0.33;0.36;0.35;0.31;0.37;0.93
58,0.0527,0.1853,0.6320,0.39;0.39;0.27;0.34;0.30;0.34;0.52;0.36;0.52;0.36;1.03;0.36;0.52
59,0.0497,0.1703,0.6650,0.37;0.44;0.37;0.34;0.39;0.30;0.69;0.41;0.36;0.37;0.36;0.48;0.57
60,0.0488,0.1875,0.6749,0.44;0.53;0.26;0.68;0.35;0.40;0.59;0.63;0.33;0.37;0.24;0.37;0.48
61,0.0486,0.1511,0.6683,0.31;0.41;0.32;0.45;0.45;0.35;0.53;0.39;0.39;0.35;0.36;0.38;0.36
62,0.0477,0.1601,0.6636,0.33;0.39;0.28;0.28;0.32;0.33;0.57;0.41;0.42;0.37;0.52;0.43;0.56
63,0.0489,0.1682,0.5708,0.41;0.38;0.35;0.32;0.38;0.36;0.66;0.35;0.48;0.44;0.40;0.50;0.33
64,0.0498,0.2317,0.6194,0.34;0.34;0.33;0.29;0.47;0.42;0.67;0.54;0.27;1.12;0.32;0.57;0.67
65,0.0481,0.1529,0.6772,0.33;0.39;0.35;0.40;0.37;0.34;0.53;0.48;0.36;0.40;0.28;0.39;0.43
66,0.0481,0.1728,0.5964,0.61;0.41;0.35;0.36;0.40;0.29;0.70;0.41;0.30;0.48;0.36;0.42;0.33
67,0.0477,0.1886,0.6382,0.32;0.46;0.36;0.43;0.35;0.36;0.57;0.37;0.35;0.36;0.38;0.45;0.78
68,0.0488,0.1668,0.6466,0.41;0.33;0.35;0.53;0.36;0.35;0.61;0.35;0.33;0.45;0.25;0.40;0.62
69,0.0470,0.1509,0.6859,0.30;0.36;0.34;0.30;0.38;0.36;0.62;0.37;0.32;0.54;0.35;0.37;0.35
70,0.0435,0.1660,0.6600,0.33;0.34;0.39;0.27;0.38;0.25;0.69;0.40;0.33;0.49;0.35;0.44;0.55
71,0.0441,0.1836,0.6496,0.31;0.35;0.33;0.32;0.36;0.38;0.58;0.45;0.38;0.83;0.27;0.54;0.43
72,0.0468,0.1450,0.6666,0.32;0.32;0.32;0.31;0.39;0.36;0.52;0.32;0.45;0.38;0.36;0.38;0.41
73,0.0457,0.1653,0.6926,0.28;0.34;0.30;0.41;0.34;0.27;0.65;0.39;0.30;0.35;0.61;0.49;0.60
74,0.0440,0.1276,0.6935,0.29;0.36;0.33;0.31;0.37;0.34;0.54;0.38;0.28;0.36;0.31;0.38;0.33
75,0.0448,0.1338,0.6682,0.29;0.36;0.30;0.28;0.49;0.28;0.58;0.33;0.31;0.36;0.35;0.44;0.34
76,0.0446,0.1318,0.6759,0.46;0.30;0.26;0.24;0.39;0.33;0.50;0.35;0.35;0.39;0.26;0.46;0.25
77,0.0421,0.1580,0.6630,0.34;0.32;0.26;0.28;0.35;0.35;0.67;0.36;0.36;0.53;0.27;0.40;0.58
78,0.0437,0.1817,0.6627,0.45;0.26;0.31;0.39;0.32;0.27;0.64;0.42;0.33;0.79;0.70;0.38;0.30
79,0.0431,0.1938,0.6371,0.33;0.48;0.31;0.38;0.36;0.25;0.73;0.45;0.32;0.83;0.27;0.45;0.54
80,0.0445,0.1387,0.7001,0.41;0.33;0.30;0.37;0.37;0.29;0.53;0.34;0.35;0.31;0.32;0.34;0.52
