epoch,train_loss,val_loss,val_f1,val_mae
41,0.1747,0.3295,0.2900,0.38;0.59;0.47;0.35;0.67;0.65;0.74;0.64;0.80;1.16;0.51;0.68;0.51
42,0.1876,0.7111,0.2418,0.79;0.93;0.57;0.42;0.91;0.49;0.75;0.55;0.87;0.55;2.36;1.42;2.95
43,0.1908,0.3375,0.2760,0.37;0.58;0.48;0.33;0.63;0.62;0.74;0.68;0.84;1.16;0.56;0.73;0.62
44,0.1814,0.3088,0.3112,0.54;0.60;0.66;0.38;0.60;0.43;0.78;0.62;0.85;0.58;0.57;0.67;0.67
45,0.1823,0.3600,0.2279,0.67;0.58;0.73;0.37;0.56;0.44;0.80;0.59;0.90;0.41;0.80;0.70;0.97
46,0.1733,0.7492,0.2091,0.59;0.62;0.50;0.38;0.63;0.44;0.74;0.70;0.88;0.40;3.02;1.56;3.22
47,0.1808,0.3426,0.2227,0.35;0.59;0.49;0.38;0.55;0.45;0.75;0.58;0.86;0.42;0.94;0.68;1.06
48,0.1762,0.4121,0.2788,0.37;0.57;0.52;0.33;0.57;0.73;0.75;0.72;1.05;1.84;0.56;0.72;0.39
49,0.1686,0.2916,0.1894,0.52;0.64;0.63;0.37;0.55;0.46;0.75;0.66;0.83;0.63;0.55;0.72;0.43
50,0.1825,0.3015,0.2401,0.44;0.58;0.58;0.37;0.55;0.53;0.75;0.58;0.78;0.68;0.54;0.75;0.41
51,0.1740,0.4617,0.2213,0.40;0.66;0.52;0.38;0.65;0.46;0.72;0.59;0.84;0.45;1.54;0.89;1.81
52,0.1811,1.0324,0.1716,0.71;0.86;0.65;0.62;0.75;0.66;0.74;0.56;0.84;0.47;4.29;2.12;4.49
53,0.1636,0.4849,0.1920,0.52;0.66;0.52;0.42;0.59;0.45;0.70;0.57;0.85;0.45;1.60;0.90;1.92
54,0.1873,0.3217,0.2622,0.74;0.58;0.69;0.43;0.62;0.53;0.75;0.65;0.83;0.61;0.63;0.77;0.43
55,0.1766,0.3086,0.2583,0.69;0.60;0.71;0.42;0.58;0.45;0.74;0.66;0.84;0.54;0.67;0.78;0.46
56,0.1733,0.3808,0.2705,0.45;0.59;0.50;0.32;0.59;0.46;0.72;0.60;0.77;0.48;1.17;0.86;1.27
57,0.1764,0.3847,0.3671,0.39;0.67;0.50;0.40;0.62;0.86;0.68;0.63;0.71;0.82;0.79;0.72;1.27
58,0.1610,0.3274,0.2225,0.38;0.58;0.50;0.36;0.55;0.46;0.74;0.60;0.79;0.40;0.84;0.65;1.12
59,0.1681,0.3068,0.3002,0.36;0.60;0.49;0.34;0.54;0.45;0.76;0.56;0.79;0.47;0.68;0.62;0.87
60,0.1633,0.2815,0.2563,0.39;0.58;0.49;0.35;0.58;0.47;0.76;0.62;0.82;0.47;0.58;0.61;0.60
61,0.1716,0.3142,0.2224,0.40;0.63;0.54;0.37;0.55;0.52;0.74;0.59;0.84;0.49;0.73;0.65;0.81
62,0.1717,0.3472,0.2633,0.39;0.59;0.50;0.35;0.60;0.61;0.76;0.64;0.86;1.33;0.63;0.77;0.51
63,0.1877,0.3019,0.2732,0.44;0.64;0.62;0.37;0.59;0.46;0.73;0.76;0.79;0.77;0.61;0.71;0.42
64,0.1716,0.2839,0.2366,0.43;0.61;0.50;0.38;0.62;0.41;0.75;0.62;0.75;0.65;0.58;0.68;0.46
65,0.1631,0.4498,0.2494,0.36;0.79;0.58;0.39;0.64;0.60;0.78;0.80;0.73;0.72;1.18;0.83;1.65
66,0.1675,0.3976,0.2338,0.40;0.58;0.47;0.35;0.58;0.44;0.77;0.57;0.78;0.47;1.30;0.79;1.44
67,0.1568,0.3564,0.2224,0.89;0.63;0.80;0.38;0.55;0.40;0.85;0.67;0.87;0.44;0.62;0.72;0.50
68,0.1667,0.3280,0.3337,0.56;0.69;0.82;0.38;0.61;0.66;0.69;0.69;0.75;0.67;0.59;0.76;0.48
69,0.1694,0.5086,0.2407,0.45;0.65;0.53;0.43;0.66;1.10;0.90;0.67;1.35;2.16;0.65;0.80;0.45
70,0.1535,0.3158,0.3093,0.42;0.59;0.53;0.37;0.62;0.46;0.70;0.61;0.73;0.61;0.65;0.69;0.89
71,0.1649,0.3194,0.2713,0.37;0.56;0.48;0.39;0.58;0.41;0.77;0.61;0.79;0.51;0.73;0.68;0.97
72,0.1649,0.2903,0.3041,0.38;0.59;0.50;0.39;0.58;0.46;0.77;0.55;0.79;0.65;0.51;0.64;0.64
73,0.1639,0.3053,0.2465,0.42;0.67;0.58;0.38;0.56;0.46;0.76;0.65;0.77;0.87;0.58;0.73;0.48
74,0.1627,0.4877,0.2988,0.80;0.54;0.67;0.34;0.59;0.62;0.83;0.65;1.16;0.72;1.58;0.86;1.37
75,0.1565,0.3294,0.2245,0.43;0.59;0.55;0.36;0.55;0.46;0.82;0.59;0.94;0.50;0.82;0.69;0.80
76,0.1564,0.2989,0.2832,0.42;0.59;0.49;0.38;0.59;0.71;0.72;0.64;0.65;0.76;0.57;0.71;0.60
77,0.1628,0.6397,0.2695,0.55;0.81;0.54;0.40;0.70;0.71;0.78;0.77;0.75;0.45;2.14;1.39;2.70
78,0.1937,0.4687,0.2985,0.48;0.64;0.49;0.35;0.62;1.28;0.73;0.87;0.84;1.03;0.97;0.83;1.28
79,0.1889,0.3822,0.3369,0.38;0.55;0.47;0.36;0.61;0.60;0.73;0.56;0.90;1.62;0.77;0.72;0.87
80,0.1741,0.3466,0.2901,0.41;0.55;0.45;0.38;0.56;0.52;0.76;0.71;0.72;1.15;0.71;0.66;0.78
